English,French
He tricked me.,Il m'a flouée.
They do it faster than us.,Ils le font plus rapidement que nous.
I'll probably come by cab.,Je viendrai probablement en taxi.
Keep trying.,Continuez à essayer.
Clean your room.,Nettoie ta chambre.
You should try to see it.,Tu devrais essayer de le voir.
We're volunteering.,Nous faisons du bénévolat.
I was good.,Je fus bonne.
Verify Customer, Vérifier le client
He can play a flute.,Il sait jouer de la flûte.
You're spoiling the mood.,Vous gâchez l'atmosphère.
I know Tom does that a lot.,Je sais que Tom le fait souvent.
My girlfriend was crying.,Ma copine était en train de pleurer.
Is it for Duke Of Gordon Hotel?, Est-ce pour Duke Of Gordon Hotel?
My bottle broke.,Ma bouteille s'est cassée.
I want you to dig a hole.,Je veux que vous creusiez un trou.
You're such a mean man.,Tu es un homme si méchant.
She's a glamorous girl.,C'est une fille séduisante.
Do you feel guilty?,Te sens-tu coupable ?
Be a good boy.,Soyez un chic type !
"Tom can do it, can't he?","Tom peut le faire, non ?"
You don't need one now.,"Vous n'en avez pas besoin d'une, maintenant."
Don't you want to know why?,Ne voulez-vous pas savoir pourquoi ?
We have more to do.,Nous avons davantage à faire.
I have a vivid imagination.,Je suis doté d'une imagination débordante.
travel.,Voyage
Don't jump!,Ne saute pas !
I turned thirty last week.,J'ai eu trente ans la semaine dernière.
You're very sophisticated.,Tu es très élégante.
Thank you. Checking it now., Je vous remercie. Je vérifie maintenant.
He appealed to us for help.,Il implora notre aide.
One moment Tauseef., Un instant Tauseef.
Do you have a different date?, Avez-vous une date différente?
Are you still there?, Tu es encore la?
?, ?
Is everything good?, Est-ce que tout est bon?
That will be a problem.,Ça va être un problème.
Still there?, Toujours là?
Cancel booking, Annuler la réservation
I hate it when you do that.,Je déteste quand tu fais ça.
Are you productive?,Es-tu productif ?
We're not welcome.,Nous ne sommes pas les bienvenues.
Are you still mad at me?,Êtes-vous encore en colère après moi ?
Are you still with me?, es-tu encore avec moi?
How may I assist you today?, Comment puis-je vous aider aujourd'hui?
Tom died in Mary's arms.,Tom est mort dans les bras de Mary.
What are you working on?,Sur quoi travaillez-vous ?
She's the teacher's pet.,C'est la chouchoute de la prof.
It was Tom who did that.,C'est Tom qui a fait cela.
We acted in good faith.,Nous avons agi de bonne foi.
Which one will you choose?,Lequel choisirez-vous ?
Definitely!, Absolument!
"Don't call the cops, man.","N'appelle pas les flics, mec !"
The statue has no head.,La statue est dépourvue de tête.
She had no one to turn to.,Elle n'avait personne vers qui se tourner.
I quit my job.,J'ai démissionné de mon boulot.
Tom is never alone.,Tom n'est jamais seul.
I woke you up.,Je t'ai réveillée.
Why didn't you do that?,Pourquoi ne l'avez-vous pas fait ?
It was good enough.,C'était assez bon.
You're shy.,Tu es timide.
It's part of life.,Ça fait partie de la vie.
You're my age.,Vous êtes de mon âge.
He stared at me.,Il me fixa.
We were both tired.,Nous étions tous les deux fatigués.
You should stay with me.,Vous devriez rester avec moi.
Stay safe always., Restez toujours en sécurité.
Is that so bad?,Est-ce tellement mauvais ?
I need to know now.,J'ai besoin de savoir maintenant.
Don't resist us.,Ne nous résistez pas !
I didn't have to wait long.,Je n'eus pas à attendre longtemps.
Get out of my house.,Sors de ma maison !
Are you still there?, Tu es encore la?
I won't ask you to do that.,Je ne vous demanderai pas de faire cela.
"Sure, please hang on"," Bien sûr, veuillez patienter"
I'm your lawyer.,Je suis votre avocat.
"Yes, cancel"," Oui, annuler"
He was playing the piano.,Il jouait du piano.
Can you help me?,Peux-tu m'aider ?
Cancel booking, Annuler la réservation
"Scott, thanks for waiting."," Scott, merci d'avoir attendu."
I know you like chocolate.,Je sais que tu aimes le chocolat.
Thank you for your present.,Merci pour ton cadeau.
I'll be back in 5  minutes., Je reviens dans 5 minutes.
They trusted you.,Elles te faisaient confiance.
Help us.,Aidez-nous !
I really like you.,Tu me plais vraiment.
I don't know how to begin.,J'ignore de quelle manière commencer.
I'm all set.,Je suis tout à fait prête.
Anything else? , Rien d'autre?
Give me  3-5  minutes. , Donnez-moi 3-5 minutes.
We do all sorts of things.,Nous faisons toutes sortes de choses.
Did you call the plumber?,As-tu appelé le plombier ?
"No problem, Bianca."," Pas de problème, Bianca."
I am afraid he will fail.,J'ai peur qu'il échoue.
I used to be fat like you.,J'étais grosse comme toi.
Just bear with me. :), Restez avec moi. :)
I came home by bus.,Je suis rentrée en bus.
I hope to see you tomorrow.,J'espère vous voir demain.
I want to be left alone.,Je veux qu'on me laisse seule.
8083752869,8083752869
I just realized something.,Je viens de prendre conscience de quelque chose.
The price is right.,Le prix est correct.
Definitely!, Absolument!
I groped for a flashlight.,Je tâtonnais pour retrouver la lampe de poche.
Jump as high as you can.,Saute aussi haut que tu le peux.
"Hi! This is Katherine, how can I help you today?"," Salut! Voici Katherine, comment puis-je vous aider aujourd'hui?"
We can't do it now.,Nous ne pouvons pas le faire maintenant.
I'm pulling up now the booking., Je tire maintenant la réservation.
How may I assist you today?, Comment puis-je vous aider aujourd'hui?
Are you still there?, Tu es encore la?
Were you serious?,Étiez-vous sérieux ?
Won't you have some cake?,Ne veux-tu pas prendre de gâteau ?
Just making sure your still there., Assurez-vous que vous êtes toujours là.
"That applies to Tom, too.",Cela s'applique aussi à Tom.
I need this one.,Il me faut celui-ci.
It's getting dark.,Le ciel s'obscurcit.
You don't seem very sure.,Tu ne sembles pas très sûre.
6077614472,6077614472
Still working on your case!, Je travaille toujours sur votre cas!
Tom bought Mary a ticket.,Tom a acheté un ticket à Mary.
Ask me something easier.,Demande-moi quelque chose de plus simple.
She really wants to go.,Elle veut vraiment y aller.
Why did you quit?,Pourquoi as-tu arrêté ?
We're not ready.,Nous ne sommes pas prêtes.
Tom shrugged.,Tom haussa les épaules.
No one knows where we are.,Personne ne sait où nous nous trouvons.
You're all mad.,Vous êtes toutes folles.
This clock isn't working.,Cette montre ne fonctionne pas.
He shall die.,Il doit mourir.
Tell me where you've been.,Dites-moi où vous étiez.
That's very mature of you.,C'est très mature de ta part.
Don't let the dog inside.,Ne laissez pas entrer le chien.
It feels good.,Ça fait du bien.
Cows give milk.,Les vaches donnent du lait.
I'm frantic.,Je suis affolée.
The shooting has stopped.,Le tournage s'est arrêté.
I guess it's time to go.,J'imagine qu'il est l'heure d'y aller.
How's your old lady doing?,Comment va ta vieille ?
He's a newcomer.,C'est un nouveau venu.
The shooting has stopped.,La fusillade s'est arrêtée.
I don't feel like laughing.,Je n'ai pas envie de rire.
Are we all happy?,Sommes-nous tous satisfaits ?
You did your best.,Tu as fais de ton mieux.
Feed the bird.,Nourris l'oiseau !
I often read books.,Je lis souvent des livres.
Select booking, Sélectionnez la réservation
I had a lot of help.,J'ai été beaucoup aidé.
Batteries are not included.,Les piles ne sont pas incluses.
You're my boss.,Tu es mon patron.
Do you need a ride?,As-tu besoin que je te conduise ?
This is permanent.,C'est permanent.
They are currently closed. , Ils sont actuellement fermés.
You're arrogant.,Vous êtes arrogants.
Read fare rules, Lire les règles tarifaires
Hi Jordan, Salut Jordan
"Hello, are you still there?", Bonjour vous êtes toujours là?
I argued with him about it.,Je me suis disputé avec lui à ce propos.
Where did you go?,Où vous êtes-vous rendu ?
Are you on crack?,Êtes-vous droguée au crack ?
I knew I was safe there.,Je savais que j'y étais en sécurité.
Did you have fun?,Vous êtes-vous amusé ?
"Hi, this is Eduardo."," Salut, c'est Eduardo."
I'd rather be in Boston.,Je préférais être à Boston.
Didn't you hear me calling?,Ne m'as-tu pas entendu appeler ?
A permanent costs extra.,Une permanente coûte un supplément.
I was so drunk last night.,J'étais tellement éméché la nuit dernière.
You're pretty.,Tu es jolie.
Be creative.,Soyez créatifs !
Yes , Oui
I love seeing you so happy.,J'adore vous voir aussi heureuse.
Something else I can help you with?, Quelque chose d'autre que je peux vous aider?
Where did the money go?,Dans quoi est passé l'argent ?
I don't get many visitors.,Je ne reçois pas beaucoup de visiteurs.
Sure. Please bear with me. ," Sûr. S'il vous plaît, supportez-moi."
Thanks for stopping by.,Merci d'être passés.
"If you want to go, then go.","Si vous voulez y aller, allez-y !"
The email address is fine as well., L'adresse e-mail est également très bien.
?, ?
Please be careful.,"Soyez prudentes, je vous prie."
It's none of your business.,Ce ne sont pas vos oignons.
We're waiting.,Nous sommes en train d'attendre.
It wasn't a dream.,Ce n'était pas un rêve.
You could have told me.,Vous auriez pu me le dire.
"Hi, there. Danniel here! How can I help you?", Salut. Danniel ici! Comment puis-je vous aider?
I'm unconvinced.,Je ne suis pas convaincu.
It was noisy.,C'était bruyant.
Did you read what I wrote?,As-tu lu ce que j'ai écrit ?
He retired at 65.,Il a pris sa retraite à 65 ans.
I can't let you do that.,Je ne peux pas vous laisser faire ça.
I need a coat.,Il me faut un manteau.
Go back to bed.,Retourne au lit !
There was no one about.,Il n'y avait personne alentour.
We were all asleep.,Nous dormions tous.
What is your email address used in this booking?, Quelle est votre adresse e-mail utilisée dans cette réservation?
7.52E+12," 7,51654E + 12"
I am a Muslim.,Je suis Musulman.
Is this a dream?,Est-ce un rêve ?
People are complicated.,Les gens sont compliqués.
We're always here.,Nous sommes toujours là.
I have a long way to go.,J'ai beaucoup de chemin à parcourir.
HI there!, Salut!
That movie was amusing.,Ce film était amusant.
I've got to know.,Je dois savoir.
You're a funny man.,T'es un mec marrant.
He was leaving then.,Il était alors en train de partir.
Oh I'll check that for you. ," Oh, je vais vérifier ça pour vous."
Stop being so nice.,Arrêtez d'être si gentille !
I took her arm.,Je lui pris le bras.
Still there?, Toujours là?
Give me a tissue.,Donne-moi un mouchoir.
You missed the meeting.,Tu as raté la réunion.
She left with her friends.,Elle s'en est allée avec ses amis.
Tom is a very good friend.,Tom est un très bon ami.
He called me a taxi.,Il m'appela un taxi.
Thank you. Checking it now., Je vous remercie. Je vérifie maintenant.
It's silent.,C'est silencieux.
I thought it was a joke.,Je pensais que c'était une blague.
Children are our future.,Les enfants sont notre avenir.
I was asked to wait here.,On m'a prié d'attendre ici.
"You can do it, too.","Vous pouvez le faire, aussi."
"Sure, please hang on"," Bien sûr, veuillez patienter"
"Hello there, I'm George."," Bonjour, je m'appelle George."
You're all alone.,Vous êtes tous seuls.
It's something new for me.,C'est nouveau pour moi.
Are you certain about this?,En êtes-vous certains ?
I'm still here., Je suis encore là.
I'm not young.,Je ne suis pas jeune.
Do you live in this dorm?,Vivez-vous dans cette cité universitaire ?
Are you old enough to vote?,Avez-vous l'âge de voter ?
"Most welcome, It's processing now. "," Bienvenu, c'est en cours de traitement."
May I proceed with the refund request now?, Puis-je procéder à la demande de remboursement maintenant?
You're a good kid.,Tu es un bon gamin.
Are you lonely?,Êtes-vous esseulé ?
How do I know if I'm wrong?,Comment savoir si je me trompe ?
May I help you?,Est-ce que je peux t'aider ?
There are no clean plates.,Il n'y a pas d'assiettes propres.
Get on with it.,Continue !
No one cheated.,Personne ne tricha.
Did you vote?,As-tu voté ?
I like playing basketball.,J'aime jouer au basket-ball.
Get in the boat.,Grimpe dans le bateau !
The imposter was caught.,L'imposteur a été capturé.
You need a job.,Il te faut un boulot.
Do you live alone?,Vivez-vous seule ?
Tom became a celebrity.,Tom était devenu célèbre.
I could do this all day.,Je pourrais faire ça toute la journée.
Let me go!,Lâchez-moi !
"This is too easy, I guess.","C'est trop facile, j'imagine."
I'm just a teacher.,Je ne suis qu'un enseignant.
I've been busy all week.,J'ai été occupée toute la semaine.
Come home at once.,Rentre à la maison tout de suite.
Please wait here.,"Attendez ici, s'il vous plaît."
You look so cool.,Vous avez l'air tellement décontracté !
We were shocked.,Nous avons été choqués.
I'm thorough.,Je suis minutieuse.
What's the movie about?,De quoi parle le film ?
Let me give you a recap., Permettez-moi de vous donner un récapitulatif.
What could I do?,Que pouvais-je faire ?
He has no choice.,Il n'a pas le choix.
Stop talking like that.,Arrêtez de parler comme ça.
Don't believe what he says.,Ne croyez pas ce qu'il dit.
I feel like being alone.,J'ai envie d'être seule.
Verify Customer, Vérifier le client
You should hire a lawyer.,Tu devrais engager un avocat.
Tom is working.,Tom est en train de travailler.
One more minute. , Encore une minute.
You were perfect.,Tu as été parfait.
Are you still with me?, es-tu encore avec moi?
Still there? , Toujours là?
I'm not selling you my car.,Je refuse de te vendre ma voiture.
Have a lovely rest of your night., Passez un bon reste de votre nuit.
Cancel booking, Annuler la réservation
Are you lost?,Êtes-vous perdues ?
I hear laughing.,J'entends un rire.
Don't say a word.,Pas un mot !
He was too stunned to talk.,Il était trop abasourdi pour parler.
I am sorry again about the wait ., Je suis encore désolé pour l'attente.
I've had enough.,J'en ai assez entendu.
Are we still connected? , Sommes-nous toujours connectés?
I'd like some ice cream.,J'aimerais une glace.
Did I hurt you?,T'ai-je fait mal ?
It may be our only hope.,Ce pourrait être notre seul espoir.
You should go home now.,"Tu devrais aller chez nous, maintenant."
Hey there :), Héy :)
The boss is very upset.,Le patron est très fâché.
I know Tom is a cat lover.,Je sais que Tom est un adorateur des chats.
We spoke French together.,Nous parlions français ensemble.
Tom loves his work.,Tom aime son emploi.
Stop being stupid.,Cesse d'être idiot !
I couldn't get that lucky.,Je ne pourrais pas être aussi chanceux.
The box was open and empty.,La boîte était ouverte et vide.
I have an earache.,J'ai une otite.
Don't wait up.,Ne veille pas.
How would you translate it?,Comment est-ce que tu le traduirais ?
I like jogging.,J'aime faire du jogging.
Yes, Oui
I hope you're having fun.,J'espère que tu t'amuses bien.
Don't stay out all night.,Ne restez pas dehors toute la nuit !
Thanks, Merci
That cat has beautiful fur.,La fourrure de ce chat est magnifique.
I was really mad at Tom.,J'étais vraiment en colère contre Tom.
Tom thought you'd do that.,Tom pensait que tu l'aurais fait.
80,quatre-vingts
She got a job as a typist.,Elle a décroché un emploi de dactylo.
Can you see it?,Peux-tu le voir ?
We're lost.,Nous sommes perdus.
Don't hold it upside down.,Ne le tenez pas à l'envers.
Why did you come early?,Pourquoi êtes-vous venue tôt ?
"Oh no, I am sorry for your lost."," Oh non, je suis désolé pour ta perte."
Can I have the itinerary number?, Puis-je avoir le numéro d'itinéraire?
Tom caused this.,Tom a causé ceci.
Don't pay attention to her.,Ne lui prêtez pas attention.
He looks well.,Il a l'air en bonne santé.
May I know on what date?, Puis-je savoir à quelle date?
Hello?, Bonjour?
I saw a fly on the ceiling.,Je vis une mouche au plafond.
Don't obey him.,Ne lui obéissez pas.
"can I get the email address, please?"," puis-je obtenir l'adresse e-mail, s'il vous plaît?"
Cancel booking, Annuler la réservation
I'm the one who met him.,Je suis celle qui l'a rencontré.
You can do it.,"C'est bon, tu peux le faire."
He's a journalist.,Il est journaliste.
Are you going to eat that?,Allez-vous manger ça ?
We're out of stock.,Nous sommes à court.
Tom is drunk as a skunk.,Tom est ivre mort.
Hi there! How can I help you?, Salut! Comment puis-je vous aider?
They can manage.,Ils peuvent gérer.
***confirm , ***confirmer
I appreciate your patience , J'apprécie ta patience
Is this at Mondrian South Beach?, Est-ce à Mondrian South Beach?
We laugh a lot.,Nous avons beaucoup ri.
Processing the cancellation now.. , Traitement de l'annulation maintenant ..
I know that you said that.,Je sais que tu l'as dit.
Where are they taking you?,Où vous emmènent-elles ?
It was flat.,Il était plat.
"Yes, cancel"," Oui, annuler"
May I know the reason?, Puis-je connaître la raison?
Hi there. Jeric here., Salut. Jeric ici.
Verify Customer, Vérifier le client
I could hear Tom yelling.,J'entends Tom qui hurle.
We met a week ago.,Il y a une semaine qu'on s'est rencontré.
I'm so tired.,Je suis si fatigué.
Here we go., Et c'est parti.
We went skiing in Canada.,Nous sommes allés skier au Canada.
That's a pagoda.,C'est une pagode.
I'm going to my sister's.,Je vais chez ma sœur.
He got wonderful results.,Il a obtenu de merveilleux résultats.
Thank you., Je vous remercie.
He was unimpressed.,Il n'a pas été impressionné.
You are most welcome., De rien.
I visited her in Germany.,Je lui ai rendu visite en Allemagne.
I need proof.,J'ai besoin de preuves.
Do you love Tom?,Est-ce que tu aimes Tom ?
Come over.,Viens chez moi !
I knew this day would come.,Je savais que ce jour viendrait.
Gotcha! Resent it!, Je t'ai eu! J'en veux!
I'm very serious.,Je suis très sérieuse.
You must stay.,Vous devez rester.
Is it helping?,Est-ce que ça aide ?
He put the key in the lock.,Il mit la clé dans la serrure.
I just told Tom.,Je vient de le dire à Tom.
Could you read this for me?,Est-ce que tu peux me lire ça ?
It didn't work out.,Ça n'a pas marché.
The statue has no head.,La statue n'a pas de tête.
Thank you for waiting., Merci pour l'attente.
Do you pluck your eyebrows?,T'épiles-tu les sourcils ?
It wasn't funny at all.,Ce n'était pas drôle du tout.
Why are you asking this?,Pourquoi demandez-vous ça ?
Work is everything to me.,Le travail est tout pour moi.
Alright. I'll call you now., Bien. Je t'appelle maintenant.
Would that be fine?, Serait-ce bien?
It's cold here.,Il fait froid ici.
When can I move in?,Quand puis-je emménager ?
I'll be down in a minute.,Je descends dans une minute.
I love winning.,J'adore avoir le dessus.
The answer is no.,La réponse est : non.
Can I try this on?,Puis-je essayer ceci ?
hOLD ON., attendez.
Please treat the cat well.,Veuillez bien traiter le chat.
You are late.,Tu es en retard.
Did you write your name?,As-tu écrit ton nom ?
They were yours.,Elles étaient les vôtres.
Yes!, Oui!
Check for airline credit, Vérifiez le crédit de la compagnie aérienne
Can I have the new name?, Puis-je avoir le nouveau nom?
Hello. Are you still there? , Bonjour. Tu es encore la?
They're too fat.,Ils sont trop gros.
Something has happened.,Quelque chose est survenu.
S#78752859 , S # 78752859
Stop playing hard to get.,Arrêtez de faire celui qui n'est pas intéressé !
Which is cheaper?,Lequel est le moins cher ?
It's a good deal.,C'est une bonne affaire.
Select booking, Sélectionnez la réservation
It's impossible to fix.,Il est impossible de le réparer.
Is this the train station?,Est-ce là la gare ?
Stay calm.,Garde ton sang-froid.
What's wrong with them?,Qu'est-ce qui ne va pas avec elles ?
There's no choice.,Il n'y a pas le choix.
I shouldn't have slept in.,Je n'aurais pas dû louper le réveil.
He was very old.,Il était fort vieux.
I relied on him.,J'ai compté sur lui.
Could the situation worsen?,La situation pourrait-elle empirer ?
I've got plenty of food.,Je dispose de plein de nourriture.
Are you bachelors?,Êtes-vous célibataires ?
Are we still connected? , Sommes-nous toujours connectés?
Is it serious?,C'est grave ?
Is it for Behotelisboa?, Est-ce pour Behotelisboa?
Tom pulled out his gun.,Tom a sorti son flingue.
I think we've met before.,Je pense que nous nous sommes déjà rencontrées.
Trim the fat off the meat.,Découpe et enlève la graisse de la viande.
I'm thrilled.,Je suis ravi.
I like teaching.,J'aime enseigner.
I couldn't tell you why.,Je ne pourrais te dire pourquoi.
Don't mind her.,Ne te soucie pas d'elle.
Let me give you a recap., Permettez-moi de vous donner un récapitulatif.
"Is it showing $2,265.07 on your end?"," Montrez-vous 2265,07 $ de votre côté?"
Verify Customer, Vérifier le client
I like mysteries.,J'aime les mystères.
Select booking, Sélectionnez la réservation
I need to check the booking to better assist you., Je dois vérifier la réservation pour mieux vous aider.
The cancellations are done. , Les annulations sont faites.
Are you ready to go out?,Es-tu prêt à sortir ?
I think I can arrange that.,Je pense que je peux arranger ça.
Don't you ever call Tom?,N'appelles-tu jamais Tom ?
I think you're too picky.,Je pense que vous êtes trop difficile.
He works long hours.,Il travaille de longues heures.
Hello? , Bonjour?
HI there!, Salut!
Select booking, Sélectionnez la réservation
Not worries., Ne t'inquiète pas.
9166903044,9166903044
"Scott, thanks for waiting."," Scott, merci d'avoir attendu."
Sorry for the long delay., Désolé pour le long retard.
"Tom, this is my cousin.","Tom, voici ma cousine."
You're skinny.,Vous êtes maigrichon.
Your welcome., Vous êtes le bienvenu.
And I'll be glad to call them on your behalf. , Et je serai heureux de les appeler en votre nom.
Do you know what it was?,Sais-tu ce que c'était ?
Who wants this one?,Qui veut celui-ci ?
Are you hungry now?,As-tu faim maintenant ?
Is it all wrong?,Est-ce tout faux ?
I don't quite follow you.,Je ne te suis pas très bien.
"Turn toward me, please.","Tourne-toi vers moi, je te prie."
So they can check with the hotel. , Ils peuvent donc vérifier auprès de l'hôtel.
She had her handbag stolen.,Elle s'est fait voler son sac-à-main.
How much is it?,Combien est-ce que ça coûte ?
I could've gone last week.,J'aurais pu y aller la semaine dernière.
Tom used to be ambitious.,Tom était ambitieux.
I had a lot of help.,J'ai été beaucoup aidée.
I jumped.,J'ai sauté.
Please pass me the salt.,"Passez-moi le sel, s'il vous plaît."
That would take too long.,Cela prendrait trop longtemps.
Can I have your phone number?, Puis-je avoir votre numéro de téléphone?
Step forward.,Avancez d'un pas.
How long did Tom work here?,Combien de temps Tom a-t-il travaillé ici ?
I'm going crazy.,Je deviens folle.
How much should they get?,Combien devraient-ils obtenir ?
"Got it, thanks.", Je l'ai Merci.
Open the safe.,Ouvre le coffre !
I had to accept it.,J'ai dû l'accepter.
Let's say no more about it.,Ne disons rien de plus à ce sujet.
Hi. Is this Rachel?, Salut. C'est Rachel?
We surrendered.,Nous nous sommes rendus.
I just want to talk to you.,Je veux simplement vous parler.
My pleasure helping you☺, Mon plaisir de vous aider helping
Thank you!, Je vous remercie!
He's a very hard worker.,C'est un travailleur acharné.
How can I help you?, Comment puis-je vous aider?
I would never lie to you.,Je ne vous mentirais jamais.
"Don't touch me, you pig!","Ne me touchez pas, espèce de porc !"
They're behind us.,Ils sont derrière nous.
What do you like to eat?,Qu'est-ce que tu aimes manger ?
I have already eaten lunch.,J'ai déjà pris mon déjeuner.
Hello. How can I help you today?, Bonjour. Comment puis-je vous aider aujourd'hui?
Be quiet and listen to me.,Sois calme et écoute-moi.
I can't open this bottle.,Je n'arrive pas à ouvrir cette bouteille.
It will update just takes time., La mise à jour prendra juste du temps.
We're all ready for that.,Nous sommes tous prêts pour ça.
Stay*, Rester*
Do you love me?,M'aimez-vous ?
She has not come here yet.,Elle n'est pas encore venue ici.
Did I say I was finished?,Ai-je dit que j'en avais fini ?
Don't you tell me to relax.,Ne me dites pas de me détendre !
This is a very old photo.,C'est une très vieille photo.
I wasn't asleep.,Je n'étais pas assoupi.
I want your love.,Je veux votre amour.
You'd better get up early.,Tu ferais mieux de te lever tôt.
You've already done that.,Tu as déjà fait ça.
I didn't lose much time.,Je n'ai pas perdu beaucoup de temps.
You have a future.,Vous avez un avenir.
I felt excited.,Je me suis senti énervée.
Thank you!, Je vous remercie!
Are you the bank manager?,Êtes-vous le gérant de la banque ?
I have no homework today.,Je n'ai pas de devoirs aujourd'hui.
The doors are shut.,Les portes sont fermées.
You're very wise.,Tu es fort avisée.
I was a teacher.,J’étais professeur.
"Stay with me, please.", Reste avec moi s'il te plaît.
itinerary,itinéraire
Sing me a song.,Chante-moi une chanson.
How did you lose your arm?,Comment as-tu perdu ton bras ?
I will notify you through this chat session. , Je vous informerai à travers cette session de chat.
He is a genius.,C'est un génie.
Somebody has left his hat.,Quelqu'un a oublié son chapeau.
I didn't hear you come in.,Je ne t'ai pas entendue entrer.
What inspires you most?,Qu'est-ce qui vous inspire le plus ?
Verify Customer, Vérifier le client
I'll visit him tomorrow.,Je lui rendrai visite demain.
Goodbye., Au revoir.
"Hello, are you still there?", Bonjour vous êtes toujours là?
This seat is taken.,Ce siège est pris.
Stay back.,Restez en arrière !
I don't want to die.,Je ne veux pas mourir.
Read fare rules, Lire les règles tarifaires
Are you still there?, Tu es encore la?
still on hold, toujours en attente
It's a rumor.,Il s'agit d'une rumeur.
59,cinquante-neuf
This is a one-way street.,C'est une rue à sens unique.
Did you do it online?, L'avez-vous fait en ligne?
You can do this.,Tu peux faire ceci.
잠시만 기다려주세요. 확인해볼게요., 잠시만 기다려 주세요. 확인해 볼게요.
That house is very small.,Cette maison est toute petite.
Don't read my diary.,Ne lisez pas mon journal !
What've you got?,Qu'as-tu ?
What kind of fish is that?,Quel poisson est-ce ?
Thanks, Merci
Finish drinking your milk.,Finis ton lait !
I brought you this.,Je vous ai apporté ceci.
The Titanic hit an iceberg.,Le Titanic a remporté un iceberg.
The boy made a paper plane.,Le garçon a confectionné un avion de papier.
I'll buy this.,Je vais acheter celui-ci.
Give me 4-6 minutes please., Donnez-moi 4-6 minutes s'il vous plaît.
That's quite a problem.,C'est vraiment un problème.
I'll risk it.,Je tenterai le coup.
It will be cloudy tomorrow.,Ce sera nuageux demain.
Here's the plan.,Voilà le plan.
The world is dangerous.,Le monde est périlleux.
He is still here.,Il est encore ici.
He disregarded my advice.,Il ignora mon conseil.
Come and keep me company.,Viens et tiens-moi un peu compagnie.
Tom unfolded his napkin.,Tom déplia sa serviette.
He was not feeling well.,Il ne se sentait pas bien.
Keep away from the fire.,Restez à distance du feu.
Thank you for using chat , Merci d'utiliser le chat
I can do it.,J'arrive à le faire.
I wanted to go.,Je voulais partir.
Can you see the picture?,Peux-tu voir l'image ?
I didn't see you.,Je ne t'ai pas vu.
Don't forget that.,N'oublie pas ça.
Where's your coat?,Où est ton manteau ?
Tom doesn't like snails.,Tom n'aime pas les escargots.
You're very welcome., Je vous en prie.
Hello., Bonjour.
